run_label,pair_seed,pair_role,pair_role_label,task_key,task_name,mem_distribution_family,checkpoint,checkpoint_name,hidden_tau_syn_ms,hidden_tau_mem_geom_mean_ms,final_test_acc,final_test_loss,label,subset_size,subset_draw,subset_indices,total_possible_subsets,sampled_pairs,total_possible_pairs,delay_steps,delay_ms,subset_pair_M_mean,subset_pair_M_std,subset_pair_W_mean,subset_pair_W_std,subset_pair_TDMI_mean,valid_pair_count,error_pair_count
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,2,1,"2,31",496,1,1,4,16.0,0.00010763599347662911,,0.008592592048475067,,0.008700228041951696,1,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,2,2,"5,30",496,1,1,4,16.0,0.00016750906137286137,,0.2552854851522435,,0.25545299421361634,1,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,2,3,"22,30",496,1,1,4,16.0,0.003125182502854429,,0.28589804249296424,,0.2890232249958187,1,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,4,1,"1,22,25,31",35960,3,6,4,16.0,0.00042956106189343907,0.0007440215841526755,0.027071708161527874,0.017949483449836403,0.027501269223421314,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,4,2,"2,13,14,17",35960,3,6,4,16.0,0.0,0.0,0.001244426893354697,0.0010777054277387819,0.001244426893354697,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,4,3,"6,11,20,27",35960,3,6,4,16.0,0.0,0.0,0.18067675478198622,0.3063754479044363,0.18067675478198622,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,8,1,"1,2,5,9,17,21,25,27",10518300,3,28,4,16.0,0.00015600654127894317,0.00027021125580822087,0.18357852878061887,0.2957134322853168,0.18373453532189785,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,8,2,"2,11,12,15,17,26,27,30",10518300,3,28,4,16.0,0.02164853687401543,0.033169722470502885,0.4097832748014532,0.2715585566077262,0.4314318116754687,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,8,3,"4,5,6,8,13,15,23,29",10518300,3,28,4,16.0,0.0010358601477213902,0.0016748141739191629,0.2604972654007193,0.24562692985681006,0.2615331255484407,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,16,1,"0,1,2,3,6,8,9,10,15,16,20,23,25,27,29,31",601080390,3,120,4,16.0,0.060237215372522655,0.10433391753167826,0.15569206451031348,0.2678250082944919,0.21592927988283614,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,16,2,"0,2,3,6,8,11,15,17,20,23,24,27,28,29,30,31",601080390,3,120,4,16.0,9.569195052313781e-06,2.6049955361167977e-05,0.1523116258807967,0.26357603948836406,0.15232119507584901,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,16,3,"2,6,7,8,10,11,13,14,20,21,23,24,25,26,27,30",601080390,3,120,4,16.0,0.005703135389789764,0.009621075688636462,0.19640646700188316,0.29440926330355993,0.20210960239167294,3,0
seeded_run_1,101,heterogeneous_sampled,Heterogeneous sampled,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_het_lognormal.pt,2class_seed101_het_lognormal.pt,10.0,24.687251898269864,0.8242049469964664,0.4610665664076805,seeded_runs_discrete_observed_smoke,32,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",1,3,496,4,16.0,0.03582327294312912,0.052437179831720394,0.21826221299580872,0.3340844235880324,0.25408548593893787,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,2,1,"3,12",496,1,1,4,16.0,0.003428240013140016,,0.1548992337854611,,0.15832747379860113,1,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,2,2,"19,28",496,1,1,4,16.0,0.00033359382885400635,,0.06499112593284107,,0.06532471976169507,1,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,2,3,"27,29",496,1,1,4,16.0,0.0,,0.3078207851519328,,0.3078207851519328,1,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,4,1,"5,13,15,26",35960,3,6,4,16.0,0.0,0.0,0.016249302567151496,0.005506901303381655,0.016249302567151496,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,4,2,"5,14,19,30",35960,3,6,4,16.0,6.54512171443707e-05,0.00013601454237032278,0.04919497283911667,0.012260062826493093,0.04926042405626104,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,4,3,"14,20,23,25",35960,3,6,4,16.0,0.0,0.0,1.2413234509055092e-07,1.0762670534561742e-07,1.2413234509055092e-07,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,8,1,"4,7,9,14,20,21,22,26",10518300,3,28,4,16.0,0.0016087024085468225,0.0022858064559681444,0.022460797389061538,0.030521767928963415,0.02406949979760836,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,8,2,"5,8,9,21,23,27,28,30",10518300,3,28,4,16.0,5.649884867456323e-05,9.785887647348904e-05,0.0020922387392307584,0.0019810411130159354,0.0021487375879053216,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,8,3,"6,12,13,18,21,26,27,30",10518300,3,28,4,16.0,0.001309298599007196,0.0022777848647906195,0.009713836224875896,0.013119592865817384,0.01102313482388309,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,16,1,"1,3,4,7,9,10,12,14,16,17,18,21,25,26,28,31",601080390,3,120,4,16.0,0.02924310455925398,0.05065054286767697,0.06299689930585027,0.08139912169176977,0.09224000386510424,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,16,2,"2,3,4,6,8,9,10,13,15,16,17,20,21,22,29,31",601080390,3,120,4,16.0,0.005191369927793159,0.004729627444523408,0.24676714112616036,0.22134207429701666,0.2519585110539535,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,16,3,"2,5,6,8,9,10,11,13,15,18,20,22,26,29,30,31",601080390,3,120,4,16.0,0.0,0.0,0.03455419809734065,0.03511284032575363,0.03455419809734065,3,0
seeded_run_1,101,homogeneous_anchor,Homogeneous anchor,2class,binary_parity,lognormal,C:\Users\Priya\Desktop\research project (SNN Info Theory)\Project Files\Checkpoints\SeededRuns\seeded_run_1\2class_lognormal\2class_seed101_hom_geommean_lognormal.pt,2class_seed101_hom_geommean_lognormal.pt,10.0,24.687251898269864,0.8268551236749117,0.42469995468854904,seeded_runs_discrete_observed_smoke,32,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",1,3,496,4,16.0,-6.467903598631845e-07,1.1202737651287934e-06,0.1118106731739299,0.1239378122585682,0.11181002638357003,3,0
